Date,Product_Category,Sales_Volume,Price,Promotion,Store_Location,Weekday,Supplier_Cost,Replenishment_Lead_Time,Stock_Level
2022-02-02,Household,1082,8.084124106589755,0,Urban,2,1.964182548857536,4,468
2022-02-03,Beverages,924,10.739688898910298,1,Urban,3,2.928620791864562,8,263
2022-02-04,Dairy,1124,8.847592318306244,1,Suburban,4,2.6354956715053186,3,332
2022-02-05,Personal Care,1954,2.3135229375457693,0,Urban,5,14.609613569728324,1,260
2022-02-06,Dairy,666,9.306142387519705,0,Urban,6,11.509741350317867,4,414
2022-02-07,Personal Care,470,2.8504744585174913,1,Suburban,0,14.532541246408648,9,125
2022-02-08,Beverages,1035,8.69539518252611,0,Suburban,1,6.876237054364673,1,197
2022-02-09,Snacks,760,12.265449596803855,1,Urban,2,4.53634298410852,2,370
2022-02-10,Household,1554,12.008883087526515,0,Urban,3,12.075251359533206,9,262
2022-02-11,Beverages,1068,13.589804301158086,1,Urban,4,5.230681811596629,2,482
2022-02-12,Household,1432,2.8099686511378996,1,Urban,5,4.84105891872755,3,158
2022-02-13,Snacks,1260,13.390341665078319,1,Rural,6,3.8713368870135523,7,178
2022-02-14,Snacks,301,6.930813077232495,1,Rural,0,2.3803451842514125,3,59
2022-02-15,Beverages,1559,8.58187297660511,0,Urban,1,4.218714384743107,9,96
2022-02-16,Snacks,412,17.30173882453141,0,Rural,2,5.652136352871372,6,428
2022-02-17,Personal Care,216,1.1715776784614547,1,Suburban,3,10.27291601811309,3,364
2022-02-18,Snacks,1789,12.179840033471503,1,Rural,4,1.4071902121820479,9,145
2022-02-19,Household,1036,12.375565621902044,0,Rural,5,3.552350625147473,1,495
2022-02-20,Household,1926,8.536535750527678,0,Urban,6,12.230842784229308,3,152
2022-02-21,Household,674,5.503529285058388,0,Rural,0,2.630367891964676,1,429
2022-02-22,Household,343,5.4588067269694704,0,Rural,1,5.468354624576563,2,391
2022-02-23,Personal Care,636,17.7904837235543,0,Rural,2,13.03755436694303,8,195
2022-02-24,Dairy,1725,9.398463101874293,0,Rural,3,2.7464170115799185,7,417
2022-02-25,Beverages,174,7.286897896794267,1,Suburban,4,1.6996841164637535,2,479
2022-02-26,Household,1929,9.526773902796657,0,Urban,5,7.525800928660157,2,465
2022-02-27,Snacks,485,13.718417627727865,0,Urban,6,4.885082913538778,9,76
2022-02-28,Household,1333,3.769374796650282,1,Suburban,0,8.669421285015884,6,269
2022-03-01,Snacks,574,9.539242869061017,0,Rural,1,12.155170912010389,5,67
2022-03-02,Snacks,517,12.169803051097352,0,Suburban,2,2.4886530782147758,6,216
2022-03-03,Household,446,19.023083742177242,0,Rural,3,8.920136726037132,9,482
2022-03-04,Personal Care,1652,5.798027859432966,0,Suburban,4,7.829877025653027,7,131
2022-03-05,Snacks,739,7.825764210408666,0,Urban,5,2.589142397191394,9,477
2022-03-06,Snacks,1038,8.207813208526051,1,Urban,6,9.547978040170245,4,121
2022-03-07,Household,1054,12.505224995252775,0,Urban,0,4.467786058981189,2,359
2022-03-08,Snacks,975,7.777909007760032,1,Rural,1,7.573597618888181,8,303
2022-03-09,Snacks,862,11.136726580694216,1,Rural,2,1.6929487020173972,4,211
2022-03-10,Household,1302,15.854016267055558,0,Suburban,3,7.163968829597534,9,376
2022-03-11,Household,1305,14.402326288131867,1,Suburban,4,4.943720286620895,4,469
2022-03-12,Beverages,763,9.481004283739125,0,Urban,5,12.424527562187638,8,451
2022-03-13,Personal Care,124,17.42010737580921,1,Rural,6,1.32619154146184,9,87
2022-03-14,Personal Care,1303,11.604664742283395,1,Suburban,0,6.569805486315784,9,492
2022-03-15,Snacks,809,11.258210950542038,0,Rural,1,7.147255649905851,4,442
2022-03-16,Personal Care,1624,1.6495675528440055,0,Rural,2,11.01258810633722,1,250
2022-03-17,Snacks,1979,19.74716662678607,0,Urban,3,8.827169838808059,3,249
2022-03-18,Beverages,1284,3.3364453620629075,0,Urban,4,10.174578889315626,9,304
2022-03-19,Household,276,5.3914873361252855,0,Rural,5,11.767214641950464,4,228
2022-03-20,Household,384,1.9822399075890123,1,Rural,6,13.001943118043737,5,84
2022-03-21,Household,162,13.16005636990136,1,Rural,0,5.051194702475822,7,131
2022-03-22,Personal Care,1102,5.26932236248092,1,Rural,1,8.301329227776593,5,438
2022-03-23,Beverages,761,4.420198311981746,1,Urban,2,12.681567137368399,4,447
2022-03-24,Personal Care,765,2.6825561002415865,1,Suburban,3,14.84704139899332,2,269
2022-03-25,Personal Care,255,2.9628701853562975,1,Urban,4,13.398030010134566,2,207
2022-03-26,Beverages,1592,12.108743308409187,1,Suburban,5,5.886275308053463,4,53
2022-03-27,Beverages,1172,14.075949451465313,0,Rural,6,3.329914499670431,9,216
2022-03-28,Beverages,1066,8.55020078082362,0,Suburban,0,7.596191792395537,8,497
2022-03-29,Beverages,948,10.118044550249392,1,Urban,1,11.253801051622613,3,458
2022-03-30,Household,1207,14.033386983676698,1,Urban,2,7.642251525922815,9,461
2022-03-31,Dairy,1484,1.330216013524113,0,Rural,3,7.506122518048193,5,253
2022-04-01,Dairy,788,7.139482484335293,0,Urban,4,12.654341105686107,3,243
2022-04-02,Beverages,247,19.488857213336583,0,Rural,5,5.740354796474202,5,284
2022-04-03,Dairy,1753,12.022132364213894,0,Urban,6,12.967022784768861,4,255
2022-04-04,Dairy,441,5.830267018052372,1,Urban,0,6.398669613799991,8,199
2022-04-05,Beverages,575,10.912870886088049,0,Rural,1,5.259380032335922,5,208
2022-04-06,Dairy,1186,7.510416274297391,1,Suburban,2,7.082853712395636,8,328
2022-04-07,Personal Care,1824,11.112654787699682,1,Urban,3,11.555480900785593,9,353
2022-04-08,Snacks,1483,3.389088724326328,1,Suburban,4,2.3270294040279174,4,453
2022-04-09,Snacks,660,3.5215784225662703,0,Urban,5,3.348078630144252,7,430
2022-04-10,Beverages,426,3.7273048787484644,0,Urban,6,14.295949972114833,2,215
2022-04-11,Household,1892,18.856576046609995,1,Urban,0,3.044628597029682,6,360
2022-04-12,Beverages,1859,14.925079448485494,1,Urban,1,8.732046110000292,8,117
2022-04-13,Household,1264,4.085255998584097,1,Suburban,2,8.9000597665981,7,137
2022-04-14,Snacks,1089,4.578632591546428,0,Suburban,3,7.599554699728549,7,266
2022-04-15,Beverages,314,14.88576002254665,1,Urban,4,9.84880610436387,8,50
2022-04-16,Personal Care,534,3.967113051051305,0,Urban,5,3.832487524065467,7,184
2022-04-17,Dairy,1051,5.456664573361745,1,Suburban,6,8.513602882762848,5,234
2022-04-18,Household,822,19.303589823587583,1,Rural,0,5.896512201080009,7,400
2022-04-19,Dairy,1441,5.850823969840205,1,Rural,1,10.09417526462324,3,189
2022-04-20,Dairy,131,13.571014657051789,0,Suburban,2,2.547741378910667,5,155
2022-04-21,Beverages,769,19.593994460610077,0,Urban,3,8.777722544172406,7,182
2022-04-22,Dairy,384,8.11163857565606,1,Urban,4,3.1864201530581937,9,157
2022-04-23,Personal Care,1428,1.3328038263791826,0,Rural,5,4.540324415168028,2,227
2022-04-24,Dairy,528,5.638798518025111,1,Rural,6,3.6712921046919567,4,347
2022-04-25,Beverages,1600,16.786666635492402,0,Suburban,0,3.151147808097848,7,407
2022-04-26,Personal Care,385,17.4275678831457,0,Rural,1,12.472808797629671,1,429
2022-04-27,Snacks,1267,15.601867925952034,0,Suburban,2,4.64275973108291,2,445
2022-04-28,Dairy,1547,3.1490865624548876,1,Rural,3,13.943294837034514,9,408
2022-04-29,Beverages,1142,16.11469706223166,0,Rural,4,14.563934617505268,7,195
2022-04-30,Snacks,117,18.45487814287658,0,Rural,5,8.78327681408791,7,499
2022-05-01,Snacks,868,12.411581308378485,1,Urban,6,2.573516278653033,6,123
2022-05-02,Household,689,18.87663177042323,1,Urban,0,5.930949529003929,3,157
2022-05-03,Personal Care,1494,16.70993879052567,1,Urban,1,12.067117818549104,3,171
2022-05-04,Dairy,1298,13.672458822827238,1,Rural,2,5.827165566107522,2,66
2022-05-05,Beverages,1109,11.966519497523215,0,Suburban,3,1.7617496653904368,6,245
2022-05-06,Household,293,7.622899677597439,0,Suburban,4,8.573381208458725,4,376
2022-05-07,Personal Care,601,4.026461459613298,0,Suburban,5,12.754252346692505,5,367
2022-05-08,Household,1087,12.494124531120276,0,Suburban,6,12.040932613580784,3,346
2022-05-09,Personal Care,1236,7.04411951874427,0,Urban,0,3.0392855318901217,6,301
2022-05-10,Personal Care,213,17.46233468302526,1,Urban,1,10.255086908980767,3,168
2022-05-11,Dairy,1345,19.87340180981394,0,Rural,2,3.697311819816883,8,211
2022-05-12,Personal Care,1801,15.296127489695879,0,Rural,3,3.6640092510064974,9,247
2022-05-13,Household,1046,2.7191522104539643,0,Suburban,4,13.174040712925185,4,94
2022-05-14,Personal Care,930,6.485026315082124,1,Urban,5,4.120199814733337,9,363
2022-05-15,Dairy,1767,3.073083003549245,1,Suburban,6,4.317086524511162,7,228
2022-05-16,Dairy,1387,13.3597213080426,0,Rural,0,0.5094741660388435,3,431
2022-05-17,Household,1024,15.538626426559908,1,Rural,1,13.124700994820007,7,467
2022-05-18,Snacks,154,18.587821786733524,1,Suburban,2,11.992624791532453,1,93
2022-05-19,Snacks,1994,9.325274581827765,1,Rural,3,9.59626955881483,3,320
2022-05-20,Personal Care,1766,18.126137342180442,1,Suburban,4,11.378853577113214,6,127
2022-05-21,Beverages,899,17.679932021785223,1,Urban,5,2.704704227655131,4,375
2022-05-22,Personal Care,877,7.026718618542573,1,Suburban,6,7.1456921215198435,7,227
2022-05-23,Household,1581,17.509111885270848,1,Urban,0,5.592681116557323,3,406
2022-05-24,Household,261,8.137772785752803,0,Urban,1,1.8597596307267392,1,465
2022-05-25,Household,1503,6.640516216645334,0,Rural,2,7.548892035616399,9,52
2022-05-26,Household,186,13.332418517093469,1,Rural,3,13.850724929968212,6,263
2022-05-27,Household,154,7.23924332981654,0,Rural,4,1.08085722623507,8,391
2022-05-28,Dairy,1599,12.97396621825374,0,Suburban,5,4.726183245660011,3,123
2022-05-29,Snacks,1923,12.586804304475196,1,Suburban,6,3.5093435749827,8,100
2022-05-30,Household,1301,11.705339619620718,0,Rural,0,3.9531264781525968,2,116
2022-05-31,Beverages,1514,8.227974380423156,1,Suburban,1,13.672301002250942,4,381
2022-06-01,Beverages,1472,11.421494711378058,1,Rural,2,7.2870012863972065,3,142
2022-06-02,Beverages,1131,12.33322402472301,1,Suburban,3,7.261341487627373,1,225
2022-06-03,Beverages,932,11.368050881413994,0,Urban,4,11.528346815601594,7,194
2022-06-04,Dairy,412,9.44396960227283,0,Urban,5,2.740136958071424,2,56
2022-06-05,Beverages,858,1.2786740838790123,0,Rural,6,7.565347634450736,4,318
2022-06-06,Household,1958,12.154172446321867,0,Suburban,0,6.734785604755366,9,425
2022-06-07,Personal Care,542,4.200443317711674,1,Suburban,1,9.155205012926514,6,371
2022-06-08,Beverages,1890,13.208943409996602,1,Urban,2,14.99358669713136,8,53
2022-06-09,Dairy,427,15.427542230534455,0,Urban,3,11.657008964189682,2,187
2022-06-10,Dairy,1177,10.508460873484088,1,Rural,4,6.269052693752694,7,280
2022-06-11,Beverages,860,11.304909634615028,1,Urban,5,12.499519257973681,6,137
2022-06-12,Personal Care,1362,19.07809263365383,0,Rural,6,2.9752712680309625,9,66
2022-06-13,Beverages,1352,17.09617986607891,1,Urban,0,0.9417234514799218,7,101
2022-06-14,Dairy,678,18.370493803077927,0,Urban,1,3.4645014007319594,1,183
2022-06-15,Snacks,1174,16.46155947807214,1,Suburban,2,5.4359675636567655,8,260
2022-06-16,Household,1732,3.0694484950878973,0,Urban,3,7.903420983163619,3,374
2022-06-17,Dairy,1727,3.8308452634336994,1,Urban,4,9.419372537847398,2,442
2022-06-18,Beverages,1106,11.005852148110232,1,Rural,5,13.703782899609115,3,268
2022-06-19,Household,1387,5.675323517161967,0,Urban,6,7.892883138481636,6,254
2022-06-20,Beverages,1541,10.057214025782024,0,Rural,0,7.7684968470730755,3,260
2022-06-21,Beverages,1926,8.492941152548653,0,Urban,1,1.2285236424332409,5,326
2022-06-22,Snacks,195,11.438870530178614,0,Urban,2,1.0062175135152454,6,73
2022-06-23,Household,1211,15.190638606580631,1,Rural,3,8.491819447787396,8,53
2022-06-24,Household,1201,14.594327234886213,1,Suburban,4,6.853589892100995,7,201
2022-06-25,Snacks,1411,10.903448517221353,0,Rural,5,12.66811572721433,8,492
2022-06-26,Dairy,1243,16.625474957524105,1,Rural,6,2.829853978321755,3,308
2022-06-27,Beverages,913,9.186379739222634,0,Rural,0,0.8620891006972191,4,373
2022-06-28,Personal Care,590,18.037571506962326,0,Suburban,1,7.011062134986825,6,406
2022-06-29,Beverages,551,2.3543251310481144,1,Urban,2,3.9434390729077338,7,217
2022-06-30,Beverages,1623,19.13854057063284,1,Rural,3,1.2194084134131429,9,225
2022-07-01,Dairy,264,13.439168547195615,0,Rural,4,11.00667515929062,1,359
2022-07-02,Beverages,281,8.2214156698069,0,Suburban,5,2.118098499380088,8,340
2022-07-03,Snacks,568,4.745928404884669,0,Rural,6,9.32063275011269,8,105
2022-07-04,Snacks,1009,10.104481359428398,1,Urban,0,4.575221377419893,6,157
2022-07-05,Household,834,4.696608140520718,1,Suburban,1,3.015692730147819,4,345
2022-07-06,Personal Care,922,4.160300547119701,1,Urban,2,6.006397082330103,3,373
2022-07-07,Beverages,1043,12.72968339084651,1,Urban,3,12.120963755232829,3,351
2022-07-08,Beverages,106,10.938609767053908,0,Suburban,4,6.1853568651163044,6,383
2022-07-09,Dairy,429,13.731824657607891,0,Rural,5,11.386159913560308,8,190
2022-07-10,Snacks,874,18.662511671017796,0,Urban,6,2.319551303587685,7,204
2022-07-11,Personal Care,1796,11.112944053441764,0,Urban,0,11.705185585143647,1,311
2022-07-12,Household,250,12.037709011993156,0,Urban,1,3.935533211146405,6,322
2022-07-13,Snacks,1208,2.7029004439439,0,Urban,2,10.322200383388655,7,469
2022-07-14,Household,246,14.635079932263961,1,Suburban,3,8.703832545194446,7,281
2022-07-15,Dairy,1747,8.598198929278968,1,Suburban,4,13.972598399569467,9,290
2022-07-16,Dairy,1504,19.557779534589,0,Urban,5,6.116176510642053,5,404
2022-07-17,Beverages,1014,16.640306296317547,0,Rural,6,1.4593952380993864,1,386
2022-07-18,Personal Care,1671,10.927139769806248,1,Urban,0,0.7777545404931672,2,307
2022-07-19,Household,1408,3.341230429271155,1,Rural,1,12.48944913410492,4,298
2022-07-20,Snacks,799,17.328900072331194,1,Urban,2,8.108666746090766,5,126
2022-07-21,Dairy,181,16.195840813056414,1,Rural,3,11.741038751606764,9,229
2022-07-22,Beverages,613,4.507117461203627,0,Urban,4,3.899171200166963,1,115
2022-07-23,Beverages,914,6.610287495185892,0,Rural,5,5.5037143099418895,3,357
2022-07-24,Household,808,16.07473790480891,0,Urban,6,0.9365061470641246,5,397
2022-07-25,Dairy,1646,4.519340484400784,0,Urban,0,14.441638706324627,3,220
2022-07-26,Personal Care,845,18.43729729425617,0,Rural,1,10.184084647161795,4,71
2022-07-27,Dairy,1122,9.066021078730875,1,Suburban,2,14.03147377250994,3,416
2022-07-28,Household,1509,2.653740289165514,0,Rural,3,4.3496979077215485,4,156
2022-07-29,Household,806,16.499224226581337,1,Suburban,4,9.366222362772081,1,488
2022-07-30,Dairy,570,8.096683977729365,0,Urban,5,10.338249540243249,8,372
2022-07-31,Household,1242,11.003484688921839,0,Rural,6,5.104470653735032,4,276
2022-08-01,Dairy,495,3.1337825438131643,0,Rural,0,12.797583907726636,7,493
2022-08-02,Snacks,1655,1.0490962820546654,0,Rural,1,14.233841212053594,2,491
2022-08-03,Dairy,360,13.121718910072655,0,Suburban,2,13.330399206592062,2,445
2022-08-04,Dairy,904,10.7883282363409,1,Suburban,3,11.216471151120901,6,265
2022-08-05,Household,1033,12.277232813339797,1,Urban,4,4.523237856011834,2,118
2022-08-06,Household,1379,16.08113315722981,1,Suburban,5,4.58343261053166,6,133
2022-08-07,Beverages,1857,13.285512355034342,0,Suburban,6,14.46872464646755,2,152
2022-08-08,Beverages,1004,4.320695413720166,0,Urban,0,0.6491251910675344,4,88
2022-08-09,Snacks,1349,7.854677863101396,1,Rural,1,10.882724612011096,7,62
2022-08-10,Beverages,1176,18.211930990967446,0,Rural,2,10.740569357051301,8,346
2022-08-11,Dairy,1039,15.6289493047819,0,Urban,3,9.528998343772063,3,362
2022-08-12,Household,1990,11.576104100797627,1,Rural,4,14.856578268259554,9,230
2022-08-13,Beverages,1623,5.857254958376174,0,Suburban,5,5.0222518185740155,2,317
2022-08-14,Beverages,1629,6.739149534861106,1,Urban,6,5.429592025002099,8,62
2022-08-15,Snacks,953,14.907203284127057,0,Urban,0,1.6446213427250553,8,169
2022-08-16,Snacks,1487,17.172310956202644,1,Urban,1,6.920572979884193,4,402
2022-08-17,Dairy,1403,13.757068721081675,0,Rural,2,4.285203630405297,1,106
2022-08-18,Household,692,16.381069539600393,0,Urban,3,5.479107181575841,1,89
2022-08-19,Snacks,813,15.566466568807714,1,Urban,4,12.6012909587066,2,423
2022-08-20,Beverages,1281,3.8443753911821967,0,Urban,5,14.064525446148687,9,385
2022-08-21,Household,731,9.054951445352739,0,Rural,6,3.1931295440751915,2,177
2022-08-22,Household,158,3.906692215742691,1,Suburban,0,5.901379507525255,2,222
2022-08-23,Beverages,1850,5.469476111237712,0,Urban,1,13.965143150673214,6,84
2022-08-24,Snacks,227,17.515932868369998,1,Suburban,2,1.3962226799937283,7,308
2022-08-25,Beverages,835,9.984947347030461,0,Rural,3,1.8392276576149884,7,425
2022-08-26,Household,820,11.171803935010557,0,Rural,4,2.8604693434903257,9,54
2022-08-27,Personal Care,1238,4.39047333932767,0,Rural,5,9.130586094839684,6,267
2022-08-28,Personal Care,1332,6.933163934927125,0,Rural,6,2.6818479295869633,8,60
2022-08-29,Dairy,625,5.374677200129529,1,Suburban,0,14.537107531035636,6,431
2022-08-30,Beverages,620,4.917537125850102,0,Urban,1,6.977360645248545,2,376
2022-08-31,Beverages,651,13.121255073003432,1,Rural,2,7.772010425077412,1,166
2022-09-01,Dairy,336,5.880793105268581,0,Rural,3,4.076549929178395,5,233
2022-09-02,Dairy,1404,13.00829423438795,0,Suburban,4,7.328923660303635,9,443
2022-09-03,Dairy,1482,2.110637668062524,0,Suburban,5,10.097747673236666,8,411
2022-09-04,Household,1324,3.6937134770149354,0,Rural,6,11.39206848583362,4,165
2022-09-05,Beverages,1881,6.216264826002382,1,Urban,0,11.431087199293739,5,211
2022-09-06,Household,1401,12.343891421018142,1,Urban,1,8.87942113406428,5,116
2022-09-07,Dairy,1358,13.840983656660143,1,Rural,2,13.61321673741093,6,249
2022-09-08,Beverages,593,9.411622368811015,1,Suburban,3,12.352413785938586,3,80
2022-09-09,Household,103,9.47002737696735,0,Rural,4,11.477197663130069,5,124
2022-09-10,Household,765,14.765820176573744,1,Rural,5,1.306280064366679,2,286
2022-09-11,Dairy,541,1.3006007435460663,1,Suburban,6,0.599730452184915,1,376
2022-09-12,Beverages,128,7.4807104650101905,0,Rural,0,3.580485519334358,1,115
2022-09-13,Dairy,1232,16.55543408526542,0,Rural,1,10.121092111745059,7,119
2022-09-14,Beverages,709,12.461168794054073,0,Rural,2,6.462363588796914,2,346
2022-09-15,Personal Care,1850,7.407315522352987,0,Suburban,3,6.33489075984002,4,496
2022-09-16,Snacks,904,18.204971054263805,1,Urban,4,13.326509879329398,5,465
2022-09-17,Snacks,174,15.679831821538269,1,Urban,5,13.485661297911662,7,69
2022-09-18,Snacks,937,6.033013497497935,0,Suburban,6,13.683041328776993,2,490
2022-09-19,Dairy,1269,13.260506912988621,0,Urban,0,5.051232109467896,6,275
2022-09-20,Personal Care,227,12.319263835590178,0,Rural,1,10.520309284719296,1,483
2022-09-21,Beverages,1976,8.622570366740671,1,Urban,2,4.438681128478359,7,458
2022-09-22,Household,141,7.972165504891213,1,Rural,3,3.263842579579522,9,445
2022-09-23,Beverages,1479,7.527649020738375,0,Urban,4,3.1771706315368538,5,248
2022-09-24,Household,140,12.72595988451729,0,Suburban,5,5.460560502522114,5,88
2022-09-25,Beverages,1033,9.405788793132722,1,Urban,6,6.734385486807415,4,194
2022-09-26,Personal Care,133,16.805399151777017,0,Urban,0,12.548762980298491,3,94
2022-09-27,Household,1140,13.722449706545277,0,Urban,1,2.2384208553543257,9,444
2022-09-28,Dairy,1800,2.3287005084792485,1,Suburban,2,11.156424787225966,5,375
2022-09-29,Beverages,1276,13.163196252735155,0,Urban,3,8.206096255744928,8,430
2022-09-30,Beverages,1097,6.151801293503511,1,Suburban,4,4.675207468801891,9,456
2022-10-01,Household,1501,12.26342784141503,0,Rural,5,7.6458839757259565,5,140
2022-10-02,Dairy,687,13.922506690965577,0,Urban,6,4.849160011766829,9,287
2022-10-03,Dairy,1722,5.3857545939262295,1,Suburban,0,9.143188350955437,2,119
2022-10-04,Personal Care,1752,9.680314252727005,1,Suburban,1,6.790736881401041,9,215
2022-10-05,Dairy,1997,4.616172393562288,0,Urban,2,2.8838801716437414,4,179
2022-10-06,Dairy,441,1.9944386399436578,1,Rural,3,2.1904545810576024,6,263
2022-10-07,Dairy,126,8.191052046231512,0,Suburban,4,8.427087390045887,6,389
2022-10-08,Snacks,1948,7.895941165073848,0,Urban,5,13.5849889826485,6,138
2022-10-09,Personal Care,1410,19.914129323380884,1,Rural,6,5.48738645508644,2,384
2022-10-10,Beverages,745,9.4806946727552,0,Suburban,0,11.128501554728036,7,301
2022-10-11,Household,830,7.337821439971808,0,Suburban,1,10.050589646626621,6,418
2022-10-12,Beverages,267,12.029025127616817,1,Rural,2,14.007546257487475,1,398
2022-10-13,Personal Care,709,2.6865804880476007,1,Rural,3,12.404224750837543,2,121
2022-10-14,Household,367,19.27164898314145,0,Urban,4,8.715776254129214,7,214
2022-10-15,Personal Care,1872,13.06424086622963,1,Urban,5,10.026942224394556,1,98
2022-10-16,Dairy,920,15.341918578876108,1,Suburban,6,13.526603765468506,1,101
2022-10-17,Household,554,4.239080825304433,1,Rural,0,6.293022376510555,1,338
2022-10-18,Dairy,1005,8.780079207098874,1,Rural,1,5.238523234937772,8,327
2022-10-19,Beverages,1808,9.031093154527602,0,Rural,2,0.656760712710347,4,163
2022-10-20,Beverages,1524,16.614322434120652,0,Suburban,3,12.484990575776232,4,288
2022-10-21,Household,1021,1.0234969154287794,0,Rural,4,12.114220155848791,2,182
2022-10-22,Household,1080,6.716209058711846,1,Rural,5,2.014590512452195,1,323
2022-10-23,Personal Care,1599,19.643491112541774,1,Suburban,6,8.864432026424154,9,215
2022-10-24,Personal Care,801,10.022844326618154,1,Urban,0,7.227734623419867,7,423
2022-10-25,Dairy,733,8.267999324636158,1,Urban,1,2.2212818848821163,4,422
2022-10-26,Household,1681,3.2767510383352807,1,Suburban,2,14.718239292380492,6,342
2022-10-27,Beverages,1699,19.509127943932295,1,Rural,3,3.613090368218654,2,292
2022-10-28,Personal Care,229,1.380500762590665,1,Suburban,4,1.4748956113131366,7,369
2022-10-29,Personal Care,1119,15.006424275137618,0,Urban,5,9.12528700277769,2,187
2022-10-30,Beverages,1945,15.60339629098166,0,Urban,6,11.213566818428975,8,128
2022-10-31,Personal Care,1486,5.629477605213466,1,Suburban,0,0.970429967684211,8,219
2022-11-01,Dairy,1828,13.759610428647708,1,Suburban,1,10.05140576154182,1,172
2022-11-02,Household,918,2.7656537432084085,1,Urban,2,8.21823220129609,8,225
2022-11-03,Beverages,792,5.883898062209518,0,Suburban,3,1.9973426286882021,2,349
2022-11-04,Household,1415,15.970137777553035,0,Urban,4,3.00159621572225,6,131
2022-11-05,Personal Care,1494,17.429037648637266,1,Suburban,5,8.735627311083167,1,136
2022-11-06,Personal Care,893,12.561241840536034,1,Suburban,6,4.797185395942681,5,274
2022-11-07,Beverages,128,10.629930204589169,0,Suburban,0,14.105578065444083,7,65
2022-11-08,Dairy,248,4.026776391760626,0,Urban,1,12.371733327518736,1,359
2022-11-09,Snacks,1902,2.1990716285038534,0,Suburban,2,14.761724494448114,2,407
2022-11-10,Beverages,1419,3.2353315409976138,0,Urban,3,4.2652271647810025,7,212
2022-11-11,Snacks,110,5.3197887018258765,1,Urban,4,14.560992675570667,6,147
2022-11-12,Snacks,1635,7.4918155360414955,0,Suburban,5,6.752891111977589,3,205
2022-11-13,Dairy,775,8.237280984708757,0,Suburban,6,5.539022532049442,2,51
2022-11-14,Snacks,1236,7.580113603191068,1,Urban,0,1.230068141055622,4,399
2022-11-15,Snacks,286,5.542051311748047,0,Urban,1,1.265096238964238,3,446
2022-11-16,Dairy,906,10.684760688282264,0,Rural,2,10.534163211226494,7,218
2022-11-17,Snacks,843,16.680436056425037,0,Urban,3,7.139970419293404,8,364
2022-11-18,Snacks,1350,6.314367230958105,1,Rural,4,3.784563577523533,2,374
2022-11-19,Snacks,1433,18.905353362942428,0,Rural,5,9.402569441715873,7,424
